node_id,latitude,longitude
640,-7.1253185,-34.8513643
641,-7.1270469,-34.8513474
642,-7.1226077,-34.8563083
643,-7.1224386,-34.8563069
644,-7.122985,-34.8588735
645,-7.1197572,-34.8552409
646,-7.1196595,-34.8590851
647,-7.1197825,-34.8590806
648,-7.1211644,-34.855233
649,-7.1211805,-34.8590693
650,-7.1211859,-34.8580648
651,-7.1211845,-34.8593093
652,-7.1225361,-34.8533096
653,-7.1210953,-34.8506696
654,-7.1211514,-34.8533094
655,-7.1197267,-34.8514039
656,-7.1211259,-34.8514072
657,-7.1195925,-34.8461251
658,-7.1195925,-34.8454521
659,-7.1191937,-34.845616
660,-7.1166579,-34.8746523
661,-7.1139851,-34.8719788
662,-7.1069578,-34.8721498
663,-7.1058606,-34.8724404
664,-7.105473,-34.8726872
665,-7.1057425,-34.8719329
666,-7.1062727,-34.8717747
667,-7.1067855,-34.8716059
668,-7.1061008,-34.8712384
669,-7.1055841,-34.8714249
670,-7.1059459,-34.8707444
671,-7.1044386,-34.8706504
672,-7.1047325,-34.8721966
673,-7.1050795,-34.8715715
674,-7.1176394,-34.8657735
675,-7.1158322,-34.8661262
676,-7.1154263,-34.8654073
677,-7.1166307,-34.8610353
678,-7.1186548,-34.8610219
679,-7.1172548,-34.8648793
680,-7.1176394,-34.8610139
681,-7.1172015,-34.8635515
682,-7.11765,-34.8631355
683,-7.1166791,-34.8641278
684,-7.116571,-34.8640582
685,-7.1161077,-34.8637082
686,-7.1162248,-34.8644659
687,-7.1158641,-34.864891
688,-7.1150953,-34.8630089
689,-7.1142668,-34.8624058
690,-7.114874,-34.8645276
691,-7.1142632,-34.8635888
692,-7.1137176,-34.862756
693,-7.1156326,-34.8610528
694,-7.1139383,-34.8610648
695,-7.1145719,-34.8610595
696,-7.1149259,-34.8610608
697,-7.1132505,-34.8656166
698,-7.1124416,-34.8655034
699,-7.1117703,-34.866499
700,-7.1108769,-34.8655349
701,-7.1108313,-34.8655922
702,-7.112312,-34.8627528
703,-7.1128393,-34.8623837
704,-7.1126053,-34.8625406
705,-7.1135925,-34.864022
706,-7.1124494,-34.864793
707,-7.1130512,-34.8632055
708,-7.1119072,-34.8639747
709,-7.1133969,-34.8610717
710,-7.1131705,-34.8612125
711,-7.1134215,-34.8620137
712,-7.1124045,-34.861885
